x,x1,x2,x3,x4,x5,x6,x7
1,32,24,6,3,45,30,13
2,33,24,6,5,47,34,14
3,33,25,8,5,62,34,15
4,33,25,8,6,62,39,15
5,33,25,9,6,65,39,16
6,34,26,9,7,67,40,17
7,34,26,9,7,70,41,17
8,34,26,10,7,71,41,18
9,34,26,10,7,72,41,18
10,34,26,11,7,73,41,18
11,34,26,11,7,73,42,18
12,34,27,11,8,74,43,18
13,34,27,11,8,74,43,19
14,34,27,11,8,74,44,19
15,34,27,11,8,74,45,19
16,34,27,11,8,75,45,19
17,34,27,12,8,75,46,19
18,34,27,12,8,76,46,20
19,34,27,12,8,76,46,20
20,34,27,12,8,77,46,20
21,35,27,12,8,78,47,20
22,35,27,12,8,78,47,20
23,35,27,12,9,78,47,20
24,35,27,12,9,79,47,20
25,35,27,12,9,79,47,20
26,35,27,12,9,80,47,21
27,35,27,12,9,80,47,21
28,35,27,12,9,80,47,21
29,35,27,12,9,81,47,21
30,35,27,12,9,81,48,21
31,35,27,13,9,81,48,21
32,35,27,13,9,82,48,21
33,35,27,13,9,82,49,21
34,35,27,13,9,82,50,22
35,35,27,13,9,82,50,22
36,35,27,13,9,83,50,22
37,35,27,13,9,83,50,22
38,35,27,13,9,83,50,22
39,35,27,13,9,83,50,22
40,35,27,13,9,83,50,22
41,35,27,13,9,83,50,22
42,35,27,13,9,84,51,22
43,35,27,13,9,84,51,22
44,35,28,13,9,84,51,22
45,35,28,13,9,84,51,22
46,35,28,13,9,84,52,22
47,35,28,13,9,85,52,22
48,35,28,14,9,85,52,23
49,35,28,14,10,85,52,23
50,35,28,14,10,85,52,23
51,35,28,14,10,85,52,23
52,35,28,14,10,86,53,23
53,35,28,14,10,86,53,23
54,35,28,14,10,86,53,23
55,35,28,14,10,87,53,23
56,35,28,14,10,87,54,23
57,35,28,14,10,87,54,23
58,36,28,15,10,87,54,23
59,36,28,15,10,87,54,23
60,36,28,15,10,88,54,23
61,36,28,15,10,88,55,23
62,36,28,15,10,88,55,23
63,36,28,15,10,88,55,23
64,36,28,15,10,89,55,24
65,36,28,15,10,89,55,24
66,36,28,15,10,89,55,24
67,36,28,15,10,89,55,24
68,36,28,15,10,89,55,24
69,36,28,15,10,90,55,24
70,36,28,15,10,90,55,24
71,36,28,15,10,91,55,24
72,36,28,15,10,91,55,24
73,36,28,15,10,91,55,24
74,36,28,15,10,91,55,24
75,36,28,15,10,91,55,24
76,36,28,15,10,91,55,24
77,36,28,15,10,91,55,24
78,36,28,15,10,91,56,24
79,36,28,15,10,92,56,24
80,36,28,15,10,92,56,24
81,36,28,16,10,92,56,24
82,36,28,16,10,92,56,24
83,36,28,16,10,92,56,24
84,36,28,16,11,92,56,24
85,36,28,16,11,92,56,24
86,36,28,16,11,92,56,24
87,36,28,16,11,92,56,24
88,36,28,16,11,92,56,25
89,36,28,16,11,93,57,25
90,36,28,16,11,93,57,25
91,36,28,16,11,93,57,25
92,36,28,16,11,93,57,25
93,36,28,16,11,93,57,25
94,36,28,16,11,93,57,25
95,36,28,16,11,93,57,25
96,36,28,16,11,93,57,25
97,36,28,16,11,93,57,25
98,36,28,16,11,94,57,25
99,36,28,16,11,94,57,25
100,36,28,16,11,94,57,25
101,36,28,16,11,94,57,25
102,36,28,16,11,94,57,26
103,36,28,16,11,94,57,26
104,36,28,16,11,94,57,26
105,36,28,16,11,94,57,26
106,36,28,17,11,94,57,26
107,36,28,17,11,94,57,26
108,36,28,17,11,94,57,26
109,36,29,17,11,95,58,26
110,36,29,17,11,95,58,26
111,36,29,17,11,95,58,26
112,36,29,17,11,95,58,26
113,36,29,17,11,95,58,26
114,36,29,17,11,95,58,26
115,37,29,17,11,95,58,26
116,37,29,17,11,95,58,26
117,37,29,17,11,96,58,26
118,37,29,17,11,96,58,26
119,37,29,17,11,96,58,26
120,37,29,17,11,96,58,26
121,37,29,17,11,96,59,26
122,37,29,17,11,96,59,26
123,37,29,17,11,97,59,26
124,37,29,17,11,97,59,26
125,37,29,17,11,97,59,26
126,37,29,17,11,97,59,26
127,37,29,17,11,97,59,26
128,37,29,17,11,97,59,26
129,37,29,17,11,97,59,26
130,37,29,17,11,97,59,26
131,37,29,18,11,97,59,26
132,37,29,18,11,97,59,26
133,37,29,18,11,98,59,26
134,37,29,18,11,98,60,26
135,37,29,18,11,98,60,26
136,37,29,18,11,98,60,26
137,37,29,18,11,98,60,27
138,37,29,18,11,98,60,27
139,37,29,18,11,98,60,27
140,37,29,18,11,98,60,27
141,37,29,18,11,98,60,27
142,37,29,18,11,99,60,27
143,37,29,18,11,99,60,27
144,37,29,18,12,99,60,27
145,37,29,18,12,99,61,27
146,37,29,18,12,99,61,27
147,37,29,18,12,99,61,27
148,37,29,18,12,99,61,27
149,37,29,18,12,99,61,27
150,37,29,18,12,99,61,27
151,37,29,18,12,99,61,27
152,37,29,18,12,99,61,27
153,37,29,18,12,100,61,27
154,37,29,18,12,100,61,27
155,37,29,18,12,100,61,27
156,37,29,18,12,100,61,27
157,37,29,18,12,100,61,27
158,37,29,18,12,100,62,27
159,37,29,18,12,100,62,27
160,37,29,18,12,101,62,27
161,37,29,19,12,101,62,27
162,37,29,19,12,101,62,27
163,37,29,19,12,101,62,27
164,37,29,19,12,101,62,27
165,37,29,19,12,102,62,27
166,37,29,19,12,102,62,27
167,37,30,19,12,102,62,28
168,37,30,19,12,102,62,28
169,37,30,19,12,102,62,28
170,37,30,19,12,102,62,28
171,37,30,19,12,102,63,28
172,38,30,19,12,102,63,28
173,38,30,19,12,102,63,28
174,38,30,19,12,102,63,28
175,38,30,19,12,102,63,28
176,38,30,19,12,102,63,28
177,38,30,19,12,102,63,28
178,38,30,19,12,102,63,28
179,38,30,19,12,103,63,28
180,38,30,19,12,103,63,28
181,38,30,19,12,103,63,28
182,38,30,19,12,103,63,28
183,38,30,19,12,103,63,28
184,38,30,19,12,103,63,28
185,38,30,19,12,103,63,28
186,38,30,19,12,103,63,28
187,38,30,19,12,103,63,28
188,38,30,19,12,103,63,28
189,38,30,19,12,103,63,28
190,38,30,19,12,103,63,28
191,38,30,19,12,103,63,28
192,38,30,19,12,104,63,28
193,38,30,19,12,104,63,28
194,38,30,19,12,104,63,28
195,38,30,19,12,104,64,28
196,38,30,19,12,104,64,28
197,38,30,19,12,104,64,28
198,38,30,19,12,104,64,28
199,38,30,20,12,104,64,28
200,38,30,20,12,104,64,28
201,38,30,20,12,104,64,28
202,38,30,20,12,104,64,28
203,38,30,20,12,104,64,28
204,38,30,20,12,104,64,28
205,38,30,20,12,104,64,28
206,38,30,20,12,104,64,28
207,38,30,20,12,104,64,29
208,38,30,20,12,105,64,29
209,38,30,20,12,105,64,29
210,38,30,20,12,105,64,29
211,38,30,20,12,105,64,29
212,38,30,20,12,105,64,29
213,38,30,20,12,105,65,29
214,38,30,20,13,105,65,29
215,38,30,20,13,105,65,29
216,38,30,20,13,105,65,29
217,38,30,20,13,105,65,29
218,38,30,20,13,105,65,29
219,38,30,20,13,106,65,29
220,38,30,20,13,106,65,29
221,38,30,20,13,106,65,29
222,38,30,20,13,106,65,29
223,38,30,20,13,106,65,29
224,38,30,20,13,106,65,29
225,38,30,20,13,106,65,29
226,38,30,20,13,106,65,29
227,38,30,20,13,106,65,29
228,39,30,20,13,106,65,29
229,39,30,20,13,106,65,29
230,39,30,20,13,106,65,29
231,39,30,20,13,106,65,29
232,39,30,20,13,106,66,29
233,39,31,20,13,107,66,29
234,39,31,20,13,107,66,29
235,39,31,20,13,107,66,29
236,39,31,20,13,107,66,29
237,39,31,20,13,107,66,29
238,39,31,20,13,107,66,29
239,39,31,20,13,107,66,29
240,39,31,20,13,107,66,29
241,39,31,20,13,107,66,29
242,39,31,20,13,107,66,29
243,39,31,20,13,108,66,29
244,39,31,20,13,108,66,29
245,39,31,20,13,108,66,29
246,39,31,20,13,108,66,29
247,39,31,20,13,108,66,29
248,39,31,20,13,108,66,29
249,39,31,20,13,108,66,29
250,39,31,20,13,108,66,30
251,39,31,20,13,108,66,30
252,39,31,20,13,108,66,30
253,39,31,20,13,108,67,30
254,39,31,21,13,108,67,30
255,39,31,21,13,108,67,30
256,39,31,21,13,108,67,30
257,39,31,21,13,108,67,30
258,39,31,21,13,108,67,30
259,39,31,21,13,109,67,30
260,39,31,21,13,109,67,30
261,39,31,21,13,109,67,30
262,39,31,21,13,109,67,30
263,39,31,21,13,109,67,30
264,39,31,21,13,109,67,30
265,39,31,21,13,109,67,30
266,39,31,21,13,109,67,30
267,39,31,21,13,109,67,30
268,39,31,21,13,109,67,30
269,39,31,21,13,109,67,30
270,39,31,21,13,109,67,30
271,39,31,21,13,109,67,30
272,39,31,21,13,109,67,30
273,39,31,21,13,109,67,30
274,39,31,21,13,109,67,30
275,39,31,21,13,110,67,30
276,39,31,21,13,110,67,30
277,39,31,21,13,110,67,30
278,39,31,21,13,110,67,30
279,39,31,21,13,110,67,30
280,39,31,21,13,110,67,30
281,39,31,21,13,110,67,30
282,39,31,21,13,110,68,30
283,39,31,21,13,110,68,30
284,39,31,21,13,110,68,30
285,39,31,21,13,110,68,30
286,39,31,21,13,110,68,30
287,39,31,21,13,111,68,30
288,39,31,21,13,111,68,30
289,39,31,21,13,111,68,30
290,39,31,21,13,111,68,30
291,39,31,21,13,111,68,30
292,39,31,21,13,111,68,30
293,39,31,21,13,111,68,30
294,39,31,21,13,111,68,30
295,39,32,21,13,111,68,30
296,39,32,22,13,111,68,30
297,39,32,22,13,111,68,30
298,39,32,22,13,111,68,30
299,39,32,22,13,111,68,30
300,39,32,22,13,111,68,30
301,39,32,22,13,112,68,30
302,39,32,22,13,112,68,30
303,39,32,22,13,112,68,30
304,40,32,22,13,112,68,30
305,40,32,22,13,112,68,30
306,40,32,22,13,112,68,30
307,40,32,22,13,112,68,30
308,40,32,22,13,112,68,30
309,40,32,22,13,112,68,30
310,40,32,22,13,112,69,30
311,40,32,22,13,112,69,30
312,40,32,22,13,112,69,30
313,40,32,22,13,112,69,30
314,40,32,22,13,113,69,30
315,40,32,22,13,113,69,31
316,40,32,22,13,113,69,31
317,40,32,22,13,113,69,31
318,40,32,22,13,113,69,31
319,40,32,22,13,113,69,31
320,40,32,22,13,113,69,31
321,40,32,22,13,113,69,31
322,40,32,22,13,113,69,31
323,40,32,22,13,113,69,31
324,40,32,22,13,113,69,31
325,40,32,22,13,113,69,31
326,40,32,22,13,113,69,31
327,40,32,22,13,113,69,31
328,40,32,22,13,113,69,31
329,40,32,22,13,113,69,31
330,40,32,22,13,113,69,31
331,40,32,22,14,114,69,31
332,40,32,22,14,114,69,31
333,40,32,22,14,114,69,31
334,40,32,22,14,114,69,31
335,40,32,22,14,114,69,31
336,40,32,22,14,114,69,31
337,40,32,22,14,114,70,31
338,40,32,22,14,114,70,31
